nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
ETUDE D’AVANT-PROJET POUR LA RESTAURATION DE LA DYNAMIQUE ALLUVIALE DE LA RESERVE NATURELLE NATIONALE DU DELTA DE LA SAUER ,"La Réserve Naturelle Nationale du delta de la Sauer s'étend sur 486 ha répartis sur les communes de Seltz et de Munchhausen (67). Le Conservatoire d'Espaces Naturels d'Alsace en est le gestionnaire depuis sa création en 1997. Localisé dans le Rhin supérieur, le delta de la Sauer correspond à un ancien méandre du Rhin court-circuité lors des travaux de rectification de Tulla au XIXème siècle et aujourd'hui emprunté par la Sauer. Les anciens bras déconnectés du Rhin sont actuellement dans une dynamique générale de fermeture et de colmatage, constituant une menace à moyen terme pour la conservation de la biodiversité du site, ses habitats et espèces. Face à ce constat, le plan de gestion 2023-2032 de la RNN prévoit de mener des opérations ambitieuses de restauration. L'étude de restauration hydraulique est une opération prioritaire. Concrètement dans le delta de la Sauer, l'objectif est de reconnecter le plus en amont possible l'ancien méandre avec le fleuve.",44000.00,19543406,2104809820,,,SN Biodiversité,Grand Est,Bas-Rhin,67,33060680700031,CONSERVATOIRE DES SITES ALSACIENS,"Association déclarée, reconnue d'utilité publique",67308,Munchhausen
Aménagement écologique des bâtiments en faveur de la faune dite anthropophile,"Le projet a pour objectif de réaliser des aménagements en faveur des espèces dites anthropophiles qui nichent, ou s'abritent dans le bâti en lien avec la trame verte et bleue du Parc.
Ces espèces sont fortement impactées par les travaux réalisés dans le cadre de la sobriété énergétique.
Dans le cas présent, il s'agirait d'aménager des bâtiments du territoire du Parc naturel régional de l'Avesnois et notamment des églises, mairies, ..) qui abritent des chauves-souris, des Martinets ou des Chouettes.
Pour les chauves-souris, il s'agit d'aménager des sites de reproduction (grenier,..) et d'hibernation (caves), et pour les Martinets noirs et l'Effraie des clochers de disposer des nichoirs.
Ce programme s'appuiera sur les diagnostics écologiques des bâtiments communaux et privés réalisés ces dernières années notamment dans le cadre des atlas de la biodiversité communale et des sos chauves-souris.",20161.60,19556771,2104668143,,,SN Biodiversité,Hauts-de-France,Nord,59,25590271000011,SYNDICAT MIXTE DE GESTION DU PARC NATUREL REGIONAL DE L AVESNOIS,Syndicat mixte ouvert,59384,Maroilles
Atlas de la biodiversité communale de Nice,"La ville de Nice, commune centre de la Métropole Nice Côte d’Azur, abritant une importante richesse écologique mais soumises à de nombreuses pressions anthropiques (étalement urbain, tourisme, etc.), souhaite se doter d’un atlas de la biodiversité communale (ABC) afin de mieux connaître, de mieux faire connaître et de mieux prendre en compte la biodiversité de son territoire. 
Par conséquence, le service Biodiversité et Économie circulaire de la Métropole Nice Côte d’Azur, met son expertise au service de la commune afin de réaliser cet ABC, appuyé par les différents services de la Ville de Nice et de la Métropole, ainsi que par le Conservatoire d’Espaces Naturels de PACA et la Ligue pour la Protection des Oiseaux de PACA. 
La réalisation de l’ABC débutera en 2025, pour une période de 3 ans, et aboutira à un plan d’actions qui sera mis en œuvre par la Ville de Nice permettant la préservation et la restauration de la biodiversité communale. ",250000.00,19595334,,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,06,20003019500115,METROPOLE NICE COTE D AZUR,Métropole,06088,Nice
Élaboration de la démarche Natur’Adapt et intégration dans l’évaluation à mi-parcours du Plan de gestion 2021-2030 de la Réserve Naturelle Nationale de l’Étang de la Mazière,"Comprendre les aléas climatiques impactant la RNN (inondation et sécheresse notamment) et les intégrer dans la gestion de la RNN seront deux axes essentiels afin de questionner le devenir du site sur le long terme.
Ainsi, le lancement de la démarche Natur'Adapt, opération prévue au plan de gestion 2021-2030 (EI2), arrive à point nommé, en amont de l'évaluation à mi-parcours du plan envisagée en 2025 (évaluation intégrée à l’opération MS12). C’est à cette étape qu’il convient d’évaluer l’efficacité de la gestion au travers des indicateurs de pression (P) et moyens mis en place, afin de redéfinir, si besoin, la stratégie opérationnelle du plan de gestion.
Les nouvelles pressions, potentiellement identifiées dans le cadre de Natur'Adapt, pourront donc être intégrées à cette évaluation.
La temporalité et la complémentarité de ces deux opérations conduisent le gestionnaire à présenter un dossier commun au financement Fonds vert.
",53087.00,19622445,2104677826,,,SN Biodiversité,Nouvelle-Aquitaine,Lot-et-Garonne,47,38305332900025,SEPANLOG RESERVE NATURELLE LA MAZIERE,Association déclarée,47325,Villeton
Atlas de la biodiversité communale,"Engagée dans un PCAET et dans son projet de territoire, la Communauté de communes du Pays des Herbiers en lien avec ses communes membres souhaite mettre en œuvre un Atlas de la Biodiversité Communale à l’échelle du territoire communautaire. La collectivité souhaite avec l’ensemble des usagers du territoire s’engager dans un programme d’actions visant à augmenter la connaissance de la biodiversité et la sensibilisation des habitants, accompagner, notamment dans ses compétences en urbanisme, les gestionnaires d’espaces à intégrer davantage les enjeux de préservation de la biodiversité, et à conduire des actions de restauration pour conforter les continuités écologiques. Forte de son dynamisme économique, le territoire du Pays des Herbiers souhaite plus que jamais, placer le sujet de biodiversité comme un élément compris par tous, véritable levier pour l’attractivité du territoire.",213410.00,19657520,,,,SN Biodiversité,Pays de la Loire,Vendée,85,24850062100011,COMMUNAUTE DE COMMUNES DU PAYS DES HERBIERS,Communauté de communes,85109,Les Herbiers
Atlas de la biodiversité communale de Megève,"La commune de Megève souhaite répondre à l’appel à projet FONDS VERT 2024 pour la réalisation d’un atlas communal de la biodiversité qui pour elle, est la suite logique des actions déjà engagées.
La démarche qui sera suivie s’articulera autour de 3 actions principales :
- Améliorer la connaissance, par des inventaires menés par des équipes de partenaires spécialistes que sont ASTERS CEN, la Fédération mycologique et botanique Dauphiné Savoie, la fédération de chasse 74, la LPO, le Conservatoire Botanique National Alpin.
- Faire découvrir la biodiversité locale, au travers de la communication et des animations aussi bien grand public qu’à un public spécifique.
- Impliquer les citoyens dans la connaissance et la préservation de la biodiversité locale, au travers des sciences participatives ou par des actions concrètes de protection. Ce travail débouchera sur un plan d’actions et la dynamique d’animations et d’actions se poursuivie post ABC.",32967.72,19691051,,,,SN Biodiversité,Auvergne-Rhône-Alpes,Haute-Savoie,74,21740173600012,COMMUNE DE MEGEVE,Commune et commune nouvelle,74173,Megève
"Garantir et restaurer la tranquillité des Chiroptères dans les mines de Montalba-le-Château et de la grotte de la Désix, en particulier pour les colonies de mise-bas","Ce projet a pour but de renforcer la mise en défens des mines de Montalba-le-Château et de la grotte de la Désix, en réponse aux problèmes d'accès non autorisés et de détérioration de ces sites d'enjeu national et international. 
Pour la mine de Montalba-le-Château, il convient d'améliorer le dispositif de fermeture en ajoutant une « casquette » en métal pour empêcher l'entrée principale par escalade. De plus, un élagage des branches obturantes facilitera cet accès aux Chiroptères. Une grille supplémentaire devra également être installée pour fermer l'entrée secondaire située au fond de la cavité. 
Concernant la grotte de la Désix, une intervention est nécessaire pour réduire la chatière agrandie par l'Homme, en posant une petite grille et en réaménageant quelques pierres pour diminuer l'ouverture. 
Ces mesures visent à protéger et à préserver ces sites sensibles, en s'alignant sur la stratégie nationale de gestion des aires protégées.",2800.00,19716915,2104915964,,,SN Biodiversité,Occitanie,Pyrénées-Orientales,66,22660001300016,DEPARTEMENT DES PYRENEES-ORIENTALES,Département,66111,Montalba-le-Château
Atlas de la Biodiversité Communale : commune de Beaulieu sur Loire,"La mise en place de l’Atlas de la Biodiversité Communale de Beaulieu sur Loire par la commune est née de l’intérêt que portent, les écoles, les citoyens, les membres du personnel communal et les associations locales à l’observation et la préservation de leur environnement.

Les objectifs sont d’acquérir les connaissances et d’améliorer les pratiques dans la sauvegarde de la biodiversité. C’est un outil pour favoriser la compréhension et l’appropriation des enjeux de la biodiversité lors de diverses opérations et aménagement communaux. Une cartographie de la faune, de la flore et des milieux naturels présents sur la commune sera réalisée par plusieurs associations naturalistes. 

La population locale, les services techniques, les écoles, les associations, les élus seront invités à participer à des animations, des inventaires participatifs et seront informés régulièrement de l’évolution par le biais de différents supports.",59839.20,19720526,,,,SN Biodiversité,Centre-Val de Loire,Loiret,45,21450029000017,COMMUNE DE BEAULIEU SUR LOIRE,Commune et commune nouvelle,45029,Beaulieu-sur-Loire
Travaux d'éradication des Jussies au niveau de la retenue du barrage de la Rouvière,"Dans le cadre du plan de gestion des invasives sur le Vidourle, l'EPTB Vidourle souhaite procéder à l'arrachage mécanique des Jussies présentes dans la retenue en amont du barrage de la Rouviere.

Le but de cette opération est de stopper la colonisation de la plante dans cette partie encore peut touchée par cette espèce.

Un suivi va être fait par les agents de l'EPTB consécutivement à ces travaux.",16218.00,19735216,2104817845,,,SN Biodiversité,Occitanie,Gard,30,25300253900034,SM ETABLISSEMENT PUBLIC TERRITORIAL DE BASSIN VIDOURLE,Syndicat mixte fermé,30150,Logrian-Florian
"Travaux de restauration sur les réserves naturelles des Dauges et des Sauvages (Haute-Vienne, 87) (2025)","RNN Dauges : Il concerne la mise en place de restauration de prairies tourbeuses par l’installation de clôtures
fixes électriques, afin de rendre possible le pâturage des prairies concernées, par les bœufs Highlands qui sont déjà présents sur le site.
Ces travaux seront réalisés par l’équipe technique du CEN Nouvelle Aquitaine.
RNR Sauvages : Les travaux visent à restaurer des milieux naturels qui tendent à se boiser par défaut et/ou manque de pression de pâturage, débroussaillage ou bûcheronnage.",17179.61,19741774,2104662056,,,SN Biodiversité,Nouvelle-Aquitaine,Haute-Vienne,87,38857596100031,CONSERVATOIRE D'ESPACES NATURELS DE NOUVELLE-AQUITAINE,Association déclarée,87183,Saint-Sylvestre
